headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
actually,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,actually,"(まさかと思うだろうが) 実際に, 実は / 本当に, マジで / 意外と / やっぱり / 驚くことに",,"(まさかと思うだろうが) 実際に, 実は / 本当に, マジで / 意外と / やっぱり / 驚くことに",/ˈæk.tʃu.ə.li/,451,"Actually, I have never been to Paris.",実際に、私はパリに行ったことがありません。,2995745
addition,noun,"CoreInventory_1: Collocation

CoreInventory 2: 

Threshold: Language",,addition,〈U〉付け加えること / 追加 / 足し算〈C〉加えられた物,,〈U〉付け加えること / 追加 / 足し算〈C〉加えられた物,/əˈdɪʃən/,489,The addition of these two numbers equals ten.,これら 2 つの数字を足すと 10 になります。,2995760
additional,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,additional,"付け加えた,追加の / 特別の",,"付け加えた,追加の / 特別の",/əˈdɪʃənəl/,490,I need to make an additional comment on the report.,私はレポートに追加のコメントを付け加える必要があります。,2995763
adjective,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: Language",,adjective,『形容詞』({略}adj.) / 形容詞の,,『形容詞』({略}adj.) / 形容詞の,/ˈædʒɪktɪv/,520,The adjective 'beautiful' describes the scenery.,形容詞の '美しい' は風景を表現しています。,2995765
adjust,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adjust,"〈他〉を調整する / 《...に》 を合わせる 《to ...》 / を調停する / 〈自〉《...に》順応する, 適応する《to ...》",,"〈他〉を調整する / 《...に》 を合わせる 《to ...》 / を調停する / 〈自〉《...に》順応する, 適応する《to ...》",/əˈdʒʌst/,531,I need to adjust the settings of my computer.,私はコンピュータの設定を調整する必要があります。,2995773
admire,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,admire,"...に感嘆する, に感嘆して見とれる / を賞賛する",,"...に感嘆する, に感嘆して見とれる / を賞賛する",/ədˈmaɪər/,551,I admire your courage and determination.,あなたの勇気と決断力に感嘆します。,2995778
admit,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,admit,"〈他〉を認める / を入れる,に入ることを許す / を収容できる",,"〈他〉を認める / を入れる,に入ることを許す / を収容できる",/ədˈmɪt/,558,I admit to being careless.,僕が不注意なことは認める。,8278
adult,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adult,"おとなの,成人した,成熟した / 成人向きの",,"おとなの,成人した,成熟した / 成人向きの",/ˈædʌlt/,596,The railroad fare for children is half of the adult fare.,鉄道の料金は子供は大人の半額だ。,50344
adult,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: Personal identification",,adult,"**おとな**,成人",,"**おとな**,成人",/əˈdʌlt/,9704024,"This movie is for adults, not for children.",この映画は大人向けであり、子供向けではない。,134629
advanced,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,advanced,"進出した,前進した / 進歩した / 上級の,高等の / (時が)進んだ,進行した",,"進出した,前進した / 進歩した / 上級の,高等の / (時が)進んだ,進行した",/ədˈvænst/,610,The company has advanced into the international market.,その会社は国際市場に進出した。,2995797
advantage,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: ",,advantage,"利点,長所,強み；有利,優位,好都合",,"利点,長所,強み；有利,優位,好都合",/ədˈvæntɪdʒ/,613,The advantage of living in the city is the convenience of public transportation.,都市に住む利点は公共交通の利便性です。,2995802
adventure,noun,"CoreInventory_1: Books and literature

CoreInventory 2: 

Threshold: Free time, entertainment",,adventure,"〈U〉〈C〉冒険  / 〈C〉珍しい経験,意外なできごと  / =venture",,"〈U〉〈C〉冒険  / 〈C〉珍しい経験,意外なできごと  / =venture",/ədˈvɛn.tʃər/,619,I'm always ready for a new adventure.,私はいつでも新しい冒険の準備ができている。,2995799
advertisement,noun,"CoreInventory_1: Shopping

CoreInventory 2: 

Threshold: Services",,advertisement,"〈C〉広告,宣伝",,"〈C〉広告,宣伝",/ədˈvɜːrtɪsmənt/,634,The advertisement for the new product was very appealing.,新製品の広告は非常に魅力的だった。,2995806
advertising,noun,"CoreInventory_1: Shopping

CoreInventory 2: 

Threshold: Services",,advertising,《集合的に》広告;広告業 / 広告の,,《集合的に》広告;広告業 / 広告の,/ˈæd.vər.taɪ.zɪŋ/,636,The company spends a lot of money on advertising every year.,その会社は毎年、広告に多くのお金を使っています。,2995808
advice,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,advice,"〈U〉忠告,助言;(医者・弁護士などの)意見,指示  / 〈U〉〈C〉(商業取引上の)通知;《複数形で》報道,報告",,"〈U〉忠告,助言;(医者・弁護士などの)意見,指示  / 〈U〉〈C〉(商業取引上の)通知;《複数形で》報道,報告",/ədˈvaɪs/,638,I appreciate your advice.,あなたの忠告に感謝します。,2995807
advise,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,advise,"〈他〉を忠告する, を助言する, を勧める / 〈自〉《...について》 忠告する 《on ...》",,"〈他〉を忠告する, を助言する, を勧める / 〈自〉《...について》 忠告する 《on ...》",/ədˈvaɪz/,641,I advise you to take a break.,あなたには休憩を取ることを勧めます。,2995811
affair,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: News, lifestyles and current affairs

Threshold: ",,affair,"〈C〉(個人的に関心・関係のある)事, 事柄 / 事件, 出来事 / 《複数形で》仕事,業務",,"〈C〉(個人的に関心・関係のある)事, 事柄 / 事件, 出来事 / 《複数形で》仕事,業務",/əˈfɛər/,704,The affair of the missing necklace became the talk of the town.,行方不明のネックレスの件は町の話題になった。,2995821
after,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,after,"《順序・時》後に,後ろから,後で / その後, その...後",,"《順序・時》後に,後ろから,後で / その後, その...後",/ˈæftər/,3207951,I will meet you after work.,仕事の後に会います。,3008602
against,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,against,"...に対して, に逆らって / 《保護を表す動詞と共に》…から / ...にぶつかって / ...にもたれて / ...に備えて / ...を背景として",,"...に対して, に逆らって / 《保護を表す動詞と共に》…から / ...にぶつかって / ...にもたれて / ...に備えて / ...を背景として",/əˈɡɛnst/,788,She stood up against the injustice.,彼女は不公平に対して立ち上がった。,2995853
aged,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aged,年とった,,年とった,/eɪdʒd/,802,She is aged and wise.,彼女は年をとって賢いです。,1634166
agency,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: 

Threshold: Travel",,agency,"〈C〉代理店 / (政府の)機関 / 〈U〉(事の達成を助ける)力,働き / 仲介, 媒介, 世話",,"〈C〉代理店 / (政府の)機関 / 〈U〉(事の達成を助ける)力,働き / 仲介, 媒介, 世話",/ˈeɪ.dʒən.si/,806,I work for a travel agency that specializes in international tours.,私は国際ツアーを専門とする旅行代理店で働いています。,2995863
agent,noun,"CoreInventory_1: Things in the town, shops and shopping

CoreInventory 2: 

Threshold: Services",,agent,"代理人 / 周旋人  / 働き(作用)を起こすもの / 作用物,薬剤  / (政府機関,特にFBI,CIAなどの)部員,機関員",,"代理人 / 周旋人  / 働き(作用)を起こすもの / 作用物,薬剤  / (政府機関,特にFBI,CIAなどの)部員,機関員",/ˈeɪ.dʒənt/,808,The agent signed the contract on behalf of the company.,代理人は会社を代表して契約書に署名した。,2995861
ahead,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ahead,"(空間的に)前方に, 前へ / 《~ of ...》...の前に / (時間的に) 前に, 先に / 他よりまさって",,"(空間的に)前方に, 前へ / 《~ of ...》...の前に / (時間的に) 前に, 先に / 他よりまさって",/əˈhɛd/,876,The road ahead is clear.,前方の道路は開けています。,2995882
air,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,air,空気　,,空気　,/ɛr/,891,The radio station will air the concert live.,そのラジオ局はコンサートを生放送する。,2995889
aisle,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: 

Threshold: Travel",,aisle,〈C〉(教会・劇場・列車・旅客機などの)座席間の通路  / 側廊(教会堂で本堂(nave)の両側にある通路),,〈C〉(教会・劇場・列車・旅客機などの)座席間の通路  / 側廊(教会堂で本堂(nave)の両側にある通路),/ɑɪl/,987,I found the book I was looking for in the aisle.,私は通路で探していた本を見つけました。,1628734
alarm,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alarm,"〈C〉警報, 警報機 / 〈C〉(不意に危険を感じた時の)恐怖,驚愕",,"〈C〉警報, 警報機 / 〈C〉(不意に危険を感じた時の)恐怖,驚愕",/əˈlɑːrm/,1006,There is no cause for undue alarm.,過度に心配する必要はない。,59897
alarm clock,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: House and home, environment",,alarm clock,目覚まし時計,,目覚まし時計,/əˈlɑrm klɑk/,1008,I forgot to set my alarm clock last night.,昨晩、目覚まし時計をセットするのを忘れてしまった。,2995919
alive,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alive,"生きている / 現存している / 活動している / 生き生きした, 活発な",,"生きている / 現存している / 活動している / 生き生きした, 活発な",/əˈlaɪv/,1092,The cat is still alive.,その猫はまだ生きている。,2995941
all,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,all,"すっかり,全く,もっぱら / 《くだけて》ひどく, とっても / 《all the+比較級の形で》かえって,いっそう / どちらも,双方とも",,"すっかり,全く,もっぱら / 《くだけて》ひどく, とっても / 《all the+比較級の形で》かえって,いっそう / どちらも,双方とも",/ɔːl/,3207956,She studied all night for the exam.,彼女は試験のために一晩中勉強しました。,6150335
allow,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,allow,"〈他〉〈事〉を許す, 〈人〉に許可を与える / 《したいと思っていたことを》...にさせる, ...にできるようにする《to do》 / 《...のために》...を用意しておく, を見越しておく《for ...》",,"〈他〉〈事〉を許す, 〈人〉に許可を与える / 《したいと思っていたことを》...にさせる, ...にできるようにする《to do》 / 《...のために》...を用意しておく, を見越しておく《for ...》",/əˈlaʊ/,1157,They allow pets in their apartment.,彼らはアパートでペットを飼うことを許しています。,3008877
alone,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alone,たったひとりの / 《名詞・代名詞のすぐ後に用いて》ただ…だけ,,たったひとりの / 《名詞・代名詞のすぐ後に用いて》ただ…だけ,/əˈloʊn/,3207958,She prefers to be alone.,彼女は一人でいることを好む。,3008612
along,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,along,"…をたどって,…に沿って / …の間に([[during]]),…の途上で",,"…をたどって,…に沿って / …の間に([[during]]),…の途上で",/əˈlɔŋ/,3207959,I walked along the river.,私は川沿いを歩きました。,3008608
alright,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alright,=[[all right]] / （事が）かまわない / 《...にとって》都合がいい 《for ...》 / うまく行っている,,=[[all right]] / （事が）かまわない / 《...にとって》都合がいい 《for ...》 / うまく行っている,/ɔːlˈraɪt/,1209,"Everything is alright, don't worry.",何も問題ない、心配しないで。,2995985
alright,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alright,"《副詞的に》順調に / 《確認》わかりましたか / 《確信・くだけて》確かに / 《同意》わかりました / 《喜び》やったぞ / 《脅し・怒り》おい / 《注意喚起》はい, それでは",,"《副詞的に》順調に / 《確認》わかりましたか / 《確信・くだけて》確かに / 《同意》わかりました / 《喜び》やったぞ / 《脅し・怒り》おい / 《注意喚起》はい, それでは",/ɔːlˈraɪt/,9714690,"Alright, let's go to the park.",いいよ、公園に行こう。,6535347
although,conjunction,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,although,"...ではあるが, ...だが",,"...ではあるが, ...だが",/ɔːlˈðoʊ/,1231,"Although it was raining, we decided to go for a walk.",雨が降っていたが、私たちは散歩に行くことに決めた。,2995995
ambition,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ambition,"大望,野心,野望  / 〈C〉大望(野心)の対象(目的)",,"大望,野心,野望  / 〈C〉大望(野心)の対象(目的)",/æmˈbɪʃən/,1292,His ambition to become a successful entrepreneur is truly inspiring.,彼が成功した起業家になるという大望は本当に感動的です。,2996010
among,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,among,...の間に / 《おもに最上級と共に》…の中の一つ / 《分配を表す動詞と共に》…の間で,,...の間に / 《おもに最上級と共に》…の中の一つ / 《分配を表す動詞と共に》…の間で,/əˈmʌŋ/,1370,She was among the first to arrive at the party.,彼女はパーティーに最初に到着した人々の中にいました。,1665421
amused,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,amused,おもしろがった,,おもしろがった,/əˈmyuzd/,1411,She was amused by his witty remarks.,彼女は彼の機知に富んだ発言におもしろがった。,2996037
amusement,noun,"CoreInventory_1: Hobbies and pastimes

CoreInventory 2: 

Threshold: Free time, entertainment",,amusement,"〈U〉『楽しみ』,慰み,おかしさ / 〈C〉『楽しみごと』,娯楽",,"〈U〉『楽しみ』,慰み,おかしさ / 〈C〉『楽しみごと』,娯楽",/əˈmjuːzmənt/,1412,The amusement park is full of joy and excitement.,遊園地は喜びと興奮でいっぱいです。,2996040
ancestor,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: Relations with other people",,ancestor,"(一人の)先祖,祖先(forefather)  / (事物の)原型,先駆  / (生物の)原型種",,"(一人の)先祖,祖先(forefather)  / (事物の)原型,先駆  / (生物の)原型種",/ˈæn.sɛs.tər/,1473,My ancestor was a brave warrior.,私の先祖は勇敢な戦士でした。,2996063
ancient,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ancient,古代の / 《おどけて》とても歳をとった /,,古代の / 《おどけて》とても歳をとった /,/ˈeɪnʃənt/,1485,The ancient ruins were discovered in the heart of the city.,古代の遺跡は都市の中心部で発見されました。,2996067
angel,noun,"CoreInventory_1: Books and literature

CoreInventory 2: 

Threshold: Free time, entertainment",,angel,"『天使』 / (美しさ・親切さなどで)天使のような人 / 守護神,守り神",,"『天使』 / (美しさ・親切さなどで)天使のような人 / 守護神,守り神",/ˈeɪndʒəl/,1524,The angel descended from the heavens with a message of peace.,天使が平和のメッセージを持って天から降りてきました。,2996088
angrily,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,angrily,"おこって,腹を立てて",,"おこって,腹を立てて",/ˈæŋɡrɪli/,1565,He slammed the door angrily.,彼は怒ってドアをバタンと閉めた。,2996105
ankle,noun,"CoreInventory_1: Personal information

CoreInventory 2: 

Threshold: Health and body care",,ankle,"『足首』,くるぶし",,"『足首』,くるぶし",/ˈæŋkl̩/,1604,I sprained my ankle while playing soccer.,サッカーをしている時に足首を捻挫しました。,2996116
anniversary,noun,"CoreInventory_1: Family life

CoreInventory 2: 

Threshold: Daily life",,anniversary,"(年ごとの)記念日,記念祭  / 記念日の",,"(年ごとの)記念日,記念祭  / 記念日の",/ˌæn.ɪˈvɜːr.sər.i/,1618,Today is our 10th wedding anniversary.,今日は私たちの結婚10周年記念日です。,2996050
annoy,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,annoy,"〈他〉を困らせる, を悩ませる, をいらいらさせる〈自〉やっかいである,悩みの種である",,"〈他〉を困らせる, を悩ませる, をいらいらさせる〈自〉やっかいである,悩みの種である",/əˈnɔɪ/,1625,It really annoys me when you don't clean up after yourself.,あなたが自分の後片付けをしないと、本当にイライラします。,2996058
annoying,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,annoying,"うるさい / 迷惑な,ウザい",,"うるさい / 迷惑な,ウザい",/əˈnɔɪ.ɪŋ/,1627,Your constant chatter is really annoying.,あなたの絶え間ないおしゃべりは本当にうるさい。,2996072
another,pronoun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,another,"もう一つ,もう一人 / 別のもの(人),違ったもの(人) / 似たもの,同類",,"もう一つ,もう一人 / 別のもの(人),違ったもの(人) / 似たもの,同類",/əˈnʌðər/,9714691,"I don't like this shirt, can I try another?",このシャツは好きではありません、別のものを試してもいいですか？,6535349
anxious,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,anxious,"《...を》心配している, 気になる《about ...》 / 《be ~ to do》 ...を切望して",,"《...を》心配している, 気になる《about ...》 / 《be ~ to do》 ...を切望して",/ˈæŋkʃəs/,1796,She was anxious about her upcoming job interview.,彼女はこれからの就職面接について心配していました。,2996124
anymore,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,anymore,"もはや；これ以上；さらに（…ない、しない） / 《非標準・肯定文・文尾・文頭で》近ごろ, 最近は",,"もはや；これ以上；さらに（…ない、しない） / 《非標準・肯定文・文尾・文頭で》近ごろ, 最近は",/ˌɛn.iˈmɔr/,48290,I don't enjoy playing video games anymore.,もはやビデオゲームを楽しむことはありません。,3006983
anyway,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,anyway,"《通例文頭》さて, それはさておき([[by the way]], [[well]]) / とにかく / いずれにせよ / 《通例文尾》そもそも, だいたい",,"《通例文頭》さて, それはさておき([[by the way]], [[well]]) / とにかく / いずれにせよ / 《通例文尾》そもそも, だいたい",/ˈɛn.i.weɪ/,1806,"Anyway, let's get back to the topic.",さて、話題に戻りましょう。,2996125
anywhere,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,anywhere,"《疑問文・条件節で》どこかへ(に),《否定文で》どこへも(にも)  / 《肯定文で》どこにでも,どこへでも  / (数量が)(…から…まで)ぐらい,(ざっと…)ぐらい",,"《疑問文・条件節で》どこかへ(に),《否定文で》どこへも(にも)  / 《肯定文で》どこにでも,どこへでも  / (数量が)(…から…まで)ぐらい,(ざっと…)ぐらい",/ˈɛniwɛər/,1807,Can we go anywhere for our vacation?,私たちは休暇にどこかへ行くことができますか？,2996134
apart,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,apart,《...から》離れて 《from ...》 / 区別して / 《...と》 別々に 《from ...》 / ばらばらに,,《...から》離れて 《from ...》 / 区別して / 《...と》 別々に 《from ...》 / ばらばらに,/əˈpɑrt/,1817,They live apart from each other.,彼らはお互いから離れて暮らしています。,2996131
apartment,noun,"CoreInventory_1: Things in the town, shops and shopping

CoreInventory 2: 

Threshold: Places",,apartment,"アパート,マンション / 豪華な居室 / 部屋 / 貸し室",,"アパート,マンション / 豪華な居室 / 部屋 / 貸し室",/əˈpɑrtmənt/,1819,I live in a small apartment in the city.,私は都市の小さなアパートに住んでいます。,2996136
apologize/apologise,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,apologize,"〈自〉《...に...について》 わびる, 謝罪する《to ... for, about ...》 / 弁解する, 言い訳する / 《...を》 弁護する 《for ...》",,"〈自〉《...に...について》 わびる, 謝罪する《to ... for, about ...》 / 弁解する, 言い訳する / 《...を》 弁護する 《for ...》",/əˈpɒlədʒaɪz/,1871,I must apologize for my late arrival.,私の遅刻について謝らなければなりません。,2996147
apparently,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,apparently,"《推測》どうも…らしい / 《疑念》外見上は, 一見したところ…らしい / 《矛盾》（思っていたことと違い）実は / 《確信》明白に",,"《推測》どうも…らしい / 《疑念》外見上は, 一見したところ…らしい / 《矛盾》（思っていたことと違い）実は / 《確信》明白に",/əˈpær.ənt.li/,1906,"Apparently, he missed the last train home.",どうやら彼は最終電車に乗り遅れたようだ。,2996150
appear,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,appear,"〈自〉姿を現す　/ 《...のように》見える, 思われる《to be ...》",,"〈自〉姿を現す　/ 《...のように》見える, 思われる《to be ...》",/əˈpɪər/,1910,The sun will appear at dawn.,太陽は夜明けに現れます。,2996153
appearance,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,appearance,"〈C〉現れること / 〈U/C〉外観, 見かけ / 《複数形で》形勢, 状況",,"〈C〉現れること / 〈U/C〉外観, 見かけ / 《複数形で》形勢, 状況",/əˈpɪərəns/,1911,The sudden appearance of the comet in the sky surprised everyone.,空に突然彗星が現れたことは皆を驚かせました。,2996154
apply,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,apply,"〈他〉《...に》 を適応する 《to ...》 / 《...に》 を当てる 《to ...》 / 《...に》 (心・努力など) を傾ける 《to ...》 / 〈自〉《...に》 適用される 《to ...》 / 《...に...を》 申し込む, 出願する 《to ... for ...》",,"〈他〉《...に》 を適応する 《to ...》 / 《...に》 を当てる 《to ...》 / 《...に》 (心・努力など) を傾ける 《to ...》 / 〈自〉《...に》 適用される 《to ...》 / 《...に...を》 申し込む, 出願する 《to ... for ...》",/əˈplaɪ/,1946,I decided to apply for the job after much consideration.,よく考えた結果、その仕事に応募することにしました。,2996164
appointment,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: ",,appointment,"〈C〉(時・場所を決めて会う)《…との》約束《with ...》  / 〈U〉任命 / 《…を…として》任命すること《of ... as ...》 / 〈C〉(任命された)官職,地位 /  《複数形で》(特に家庭の)設備,装備",,"〈C〉(時・場所を決めて会う)《…との》約束《with ...》  / 〈U〉任命 / 《…を…として》任命すること《of ... as ...》 / 〈C〉(任命された)官職,地位 /  《複数形で》(特に家庭の)設備,装備",/əˈpɔɪntmənt/,1951,I have an appointment with the doctor tomorrow.,明日、医者の予約があります。,3008882
appreciate,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,appreciate,"〈他〉(よさ・価値など)を認める / (作品など) を味わう、観賞する / (好意など)をありがたく思う, 感謝する / 〈自〉価値(価格, 評価)が上がる",,"〈他〉(よさ・価値など)を認める / (作品など) を味わう、観賞する / (好意など)をありがたく思う, 感謝する / 〈自〉価値(価格, 評価)が上がる",/əˈpriːʃieɪt/,1964,I really appreciate your help.,あなたの助けを本当に感謝しています。,2996168
appropriate,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,appropriate,"《...に》適切な,ふさわしい《for, to ...》 / 《...に》特有な《to ...》",,"《...に》適切な,ふさわしい《for, to ...》 / 《...に》特有な《to ...》",/əˈproʊpriət/,1978,It's appropriate to wear formal attire to the event.,そのイベントにはフォーマルな服装を着るのが適切です。,2996176
architecture,noun,"CoreInventory_1: Things in the town, shops and shopping

CoreInventory 2: Arts

Threshold: House and home, environment",,architecture,"〈U〉建築術, 建築学 / 〈U〉〈C〉(ある時代・国などの)建築様式 / (一般に)構成",,"〈U〉建築術, 建築学 / 〈U〉〈C〉(ある時代・国などの)建築様式 / (一般に)構成",/ˈɑːrkɪtɛkʧər/,2109,The architecture of the building is stunning.,建物の建築は見事です。,3008885
area,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: 

Threshold: ",,area,"〈U〉〈C〉面積  / 〈C〉地域,地方(region, district)  / 〈C〉(活動・研究・興味などの及ぶ)範囲,領域(range)《+of+名》  / 〈C〉《英》=areaway 1",,"〈U〉〈C〉面積  / 〈C〉地域,地方(region, district)  / 〈C〉(活動・研究・興味などの及ぶ)範囲,領域(range)《+of+名》  / 〈C〉《英》=areaway 1",/ˈɛəriə/,2129,The area of this room is 20 square meters.,この部屋の面積は20平方メートルです。,2996212
