headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
accommodation,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: 

Threshold: Travel",,accommodation,"〈U〉宿泊 / 《複数形で》(旅館などの) 宿泊設備 / 《...への》適応, 順応《to ...》 / 〈C〉便宜, 助け / 調停, 和解",,"〈U〉宿泊 / 《複数形で》(旅館などの) 宿泊設備 / 《...への》適応, 順応《to ...》 / 〈C〉便宜, 助け / 調停, 和解",/əˌkɑːməˈdeɪʃən/,289,I need to find a suitable accommodation for my vacation.,私は休暇のために適切な宿泊先を見つける必要があります。,2995683
accordingly,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accordingly,"従って,それだから,それゆえ([[therefore]])  / それに応じて,適宜に",,"従って,それだから,それゆえ([[therefore]])  / それに応じて,適宜に",/əˈkɔːrdɪŋli/,303,"The weather was bad, so accordingly, we cancelled our picnic.",天気が悪かったので、従って、私たちはピクニックをキャンセルしました。,2995687
accumulate,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accumulate,"を蓄積する,ためる / 蓄積する,たまる",,"を蓄積する,ためる / 蓄積する,たまる",/əˈkjumjəˌleɪt/,324,"Over time, he managed to accumulate a vast collection of rare books.",時間をかけて彼は珍しい本の大量のコレクションを蓄積することができました。,2995704
accusation,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: ",,accusation,"〈C/U〉《...を》告発すること《of ...》, 告発されること / 〈C〉《...の》罪状, 罪《of ...》／非難",,"〈C/U〉《...を》告発すること《of ...》, 告発されること / 〈C〉《...の》罪状, 罪《of ...》／非難",/ˌæk.jʊ.ˈzeɪ.ʃən/,334,He made a false accusation against her.,彼は彼女に対して虚偽の告発をした。,1628605
ache,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ache,"(継続的に鈍く)〈人が〉『痛みを感じる』,〈身体が〉痛む,うずく / 《話》切望する,心から願う",,"(継続的に鈍く)〈人が〉『痛みを感じる』,〈身体が〉痛む,うずく / 《話》切望する,心から願う",/ eɪk /,9702340,My heart aches for the starving children in Africa.,アフリカの飢えに苦しむ子供たちの事を思うと胸がいたむ。,142016
achievable,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,achievable,成就(じょうじゅ)(達成)できる,,成就(じょうじゅ)(達成)できる,/əˈtʃiːvəbəl/,357,"I admire your goals, but are they achievable?",あなたの目標は素晴らしいと思いますが、達成可能ですか？,3010911
acid,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,acid,"酸性の  / 酸味のある,すっぱい(sour)  / (言葉・態度などが)厳しい,しんらつな  / 酸  / すっぱいもの  / 《俗》=LSD",,"酸性の  / 酸味のある,すっぱい(sour)  / (言葉・態度などが)厳しい,しんらつな  / 酸  / すっぱいもの  / 《俗》=LSD",/'æsɪd/,365,The solution turned red because it was acid.,その溶液は酸性だったので赤くなった。,2995713
acquisition,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: ",,acquisition,"〈U〉《...を》獲得すること, 習得すること 《of ...》 / 〈C〉取得したもの, 《...に》 加わったもの(人) 《to ...》",,"〈U〉《...を》獲得すること, 習得すること 《of ...》 / 〈C〉取得したもの, 《...に》 加わったもの(人) 《to ...》",/ˌæk.wɪˈzɪʃ.ən/,399,The acquisition of a new language can be a challenging but rewarding process.,新しい言語の習得は、困難だが見返りのあるプロセスになるでしょう。,2995731
actively,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,actively,"活発に, 積極的に",,"活発に, 積極的に",/ˈæk.tɪv.li/,440,She is actively participating in the community service.,彼女は積極的に地域奉仕活動に参加しています。,2995739
actual,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,actual,"現実の,実際上の(real)  / 現在の,現存の",,"現実の,実際上の(real)  / 現在の,現存の",/ˈæk.tʃu.əl/,448,The actual situation is far from what we expected.,現実の状況は、私たちが期待していたものからはほど遠いです。,2995750
acute,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,acute,"(先の)鋭い,とがった  / (痛み・感情などが)激しい,強い  / (知力・感覚などが)鋭い,鋭敏な  / (事態が)重大な  / (病気が)急性の  / (音が)高い,鋭い  / 鋭角の",,"(先の)鋭い,とがった  / (痛み・感情などが)激しい,強い  / (知力・感覚などが)鋭い,鋭敏な  / (事態が)重大な  / (病気が)急性の  / (音が)高い,鋭い  / 鋭角の",/əˈkjut/,458,The eagle has an acute vision that allows it to spot its prey from a great distance.,鷲は鋭い視力を持っており、遠くから獲物を見つけることができます。,2995749
adaptable,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adaptable,"(物・事が)適応できる / (人が)融通のきく,順応性のある",,"(物・事が)適応できる / (人が)融通のきく,順応性のある",/əˈdæptəbəl/,474,The adaptable software can adjust to any changes in the system.,その順応性のあるソフトウェアは、システムの変更に対応できます。,2995756
addict,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: ",,addict,"(麻薬などの)常用者,中毒者",,"(麻薬などの)常用者,中毒者",/əˈdɪkt/,486,He is an addict to video games.,彼はビデオゲーム中毒者です。,2995761
addicted,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,addicted,"(薬などの物質の作用によって)中毒になっている,常習的な / (非常に楽しい娯楽などに)病みつきの,熱狂的な,くびったけの,はまっている",,"(薬などの物質の作用によって)中毒になっている,常習的な / (非常に楽しい娯楽などに)病みつきの,熱狂的な,くびったけの,はまっている",/əˈdɪktɪd/,9703354,She is addicted to alcohol.,彼女はアルコール中毒だ。,19156
addiction,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: ",,addiction,(物事に)熱中すること《+『to』+『名』》 / (麻薬などの)常用《+『to』+『名』》,,(物事に)熱中すること《+『to』+『名』》 / (麻薬などの)常用《+『to』+『名』》,/əˈdɪk.ʃən/,487,His addiction to video games is causing concern among his family members.,彼のビデオゲームへの熱中は家族の間で心配の種となっている。,2995764
additionally,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,additionally,"その上,さらに",,"その上,さらに",/əˈdɪʃənəli/,491,"Additionally, I would like to add that the project is due next week.",それに加えて、プロジェクトの締切は来週です,1639581
adequate,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adequate,十分な / 適切な / 適当な,,十分な / 適切な / 適当な,/ˈædɪkwɪt/,505,The hotel provided adequate facilities for the conference.,ホテルは会議のために十分な設備を提供しました。,2995376
adequately,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adequately,"適切に,十分に",,"適切に,十分に",/ˈædɪkwɪtli/,506,The company adequately addressed the concerns of its customers.,会社は顧客の懸念事項に適切に対応しました。,1639582
adjustment,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adjustment,"〈U〉(…の)調停,調整,調節《+of+名》, (…への)適応《+to+名》  / 〈C〉調整装置",,"〈U〉(…の)調停,調整,調節《+of+名》, (…への)適応《+to+名》  / 〈C〉調整装置",/əˈdʒʌstmənt/,535,The company made an adjustment to resolve the conflict between the two departments.,会社は2つの部門間の対立を解決するための調整を行いました。,2995777
administrative,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,administrative,行政上の / 管理の / 経営の,,行政上の / 管理の / 経営の,/ædˈmɪnɪstrətɪv/,544,The administrative procedures in this office are quite complex.,このオフィスの行政手続きはかなり複雑です。,2995782
admirable,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,admirable,"賞賛に値する,感心する,りっぱな",,"賞賛に値する,感心する,りっぱな",/ˈæd.mə.rə.bəl/,546,His dedication to his work is truly admirable.,彼の仕事への献身は本当に賞賛に値する。,2995781
admiringly,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,admiringly,感嘆して、賞賛して、賛美して、うっとりして,,感嘆して、賞賛して、賛美して、うっとりして,/ədˈmaɪərɪŋli/,9703355,She was gazing at him admiringly.,彼女は彼を賛美の目でじっと見ていた。,3010912
admittedly,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,admittedly,"明らかに,疑いなく",,"明らかに,疑いなく",/ədˈmɪtɪdli/,561,"Admittedly, I was wrong about the situation.",確かに、私はその状況について間違っていました。,2995789
adopted,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adopted,"養子縁組された,養子になった",,"養子縁組された,養子になった",/əˈdɒptɪd/,9703356,The adopted child lived a happy life with her new family.,養子になった子どもは新しい家族と幸せな人生を送った。,4758
adoption,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adoption,"養子縁組 / 〈U〉(新しい方式などの)採用,採択; (外国語の)借用",,"養子縁組 / 〈U〉(新しい方式などの)採用,採択; (外国語の)借用",/əˈdɒpʃən/,574,The adoption process can be long and complex.,養子縁組のプロセスは長くて複雑なことがあります。,1628841
adore,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adore,"〈人〉を深く愛する, を敬愛する / 〈神〉をあがめる,崇拝する / 《話》…が大好きである",,"〈人〉を深く愛する, を敬愛する / 〈神〉をあがめる,崇拝する / 《話》…が大好きである",/əˈdɔr/,578,I absolutely adore my little sister.,私は妹を絶対に深く愛しています。,2995790
adorn,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adorn,(装飾品などで)…'を'『飾る』《+『名』+『with』+『名』》　魅力的にする,,(装飾品などで)…'を'『飾る』《+『名』+『with』+『名』》　魅力的にする,/əˈdɔːrn/,581,She decided to adorn her dress with beautiful pearls to make it more attractive.,彼女はドレスをより魅力的にするために、美しいパールで飾ることにしました。,2995793
advance,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,advance,〈U/C〉進むこと / 《複数形で》《人に》言い寄ること《to ...》 / 前もっての《in ...》,,〈U/C〉進むこと / 《複数形で》《人に》言い寄ること《to ...》 / 前もっての《in ...》,/ədˈvæns/,9702348,Send your baggage in advance.,荷物は先に送っておきなさい。,98676
advancement,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,advancement,"〈U〉〈C〉進歩,発達(advance)  / 〈U〉(…の)促進,振興《+of+名》  / 〈U〉(…への)昇進,進級《+to+名》",,"〈U〉〈C〉進歩,発達(advance)  / 〈U〉(…の)促進,振興《+of+名》  / 〈U〉(…への)昇進,進級《+to+名》",/ədˈvænsmənt/,611,Technological advancements have greatly improved our lives.,技術の進歩により、私たちの生活は大幅に改善されました。,1641660
advent,noun,"CoreInventory_1: Books and literature

CoreInventory 2: 

Threshold: ",,advent,"《the ~》(際立ったもの・事件・人の)出現,到来《+『of』+『名』》 / 《A-》キリストの降臨;降臨節(クリスマス前のおよそ4週間の期間)",,"《the ~》(際立ったもの・事件・人の)出現,到来《+『of』+『名』》 / 《A-》キリストの降臨;降臨節(クリスマス前のおよそ4週間の期間)",/ˈæd.vɛnt/,616,The advent of technology has revolutionized our lives.,技術の出現は私たちの生活を革命的に変えました。,1641819
adventurous,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adventurous,"冒険好きな,大胆な / 冒険的な,危険な",,"冒険好きな,大胆な / 冒険的な,危険な",/ədˈvɛntʃərəs/,623,She is always looking for adventurous activities to try.,彼女はいつも何か冒険的なことを試してみようと探している。,1641820
adverse,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adverse,"反対の,逆の,敵意を持つ  / 逆方向の / 有害な",,"反対の,逆の,敵意を持つ  / 逆方向の / 有害な",/ædˈvɜːrs/,628,He experienced an adverse reaction to the medicine.,彼はその薬に対して副作用を経験しました。,1627167
adversely,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adversely,逆に、反対に、不利に、不運に,,逆に、反対に、不利に、不運に,/ədˈvɜrsli/,9704304,"If long-term beds are reduced, then it won't be possible to do that and normal sickbeds will also be adversely affected.",療養病床が減ればそれができず、一般病床の医療にも支障をきたします。,256
adversity,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adversity,"〈U〉逆境,不幸 / 《しばしば複数形で》不幸(不運)なできごと",,"〈U〉逆境,不幸 / 《しばしば複数形で》不幸(不運)なできごと",/ədˈvɜːrsəti/,629,She faced adversity with courage and determination.,彼女は勇気と決意を持って逆境に立ち向かった。,2995804
affectionate,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,affectionate,"愛情のこもった,優しい",,"愛情のこもった,優しい",/əˈfɛkʃənət/,712,She gave me an affectionate hug.,彼女は私に愛情のこもったハグをくれました。,2995826
affectionately,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,affectionately,"愛情をこめて,優しく",,"愛情をこめて,優しく",/əˈfɛkʃənətli/,713,She affectionately hugged her son before he left for school.,彼女は学校に行く前に、愛情をこめて息子を抱きしめた。,2995832
affordable,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,affordable,手ごろな価格の / 入手可能な,,手ごろな価格の / 入手可能な,/əˈfɔːrdəbəl/,48329,This restaurant offers affordable meals for everyone.,このレストランは手ごろな価格で誰でも食事ができます。,3007000
ageless,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ageless,不老の;永遠の,,不老の;永遠の,/ˈeɪdʒləs/,805,She has an ageless beauty.,彼女は年を取らないような美しさを持っています。,1649517
aggressively,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aggressively,攻撃的に、積極的に,,攻撃的に、積極的に,/əˈɡrɛsɪvli/,9704305,The company is competing aggressively in the market.,企業は市場で競争を積極的に行っている。,1627526
agonize/agonise,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,agonize,"苦しみもだえる,苦悶(くもん)する / 必死に努力する,苦悶する / …'を'もだえさせる,苦悶させる(torture)",,"苦しみもだえる,苦悶(くもん)する / 必死に努力する,苦悶する / …'を'もだえさせる,苦悶させる(torture)",/ˈæɡəˌnaɪz/,847,She continued to agonize over the decision she had to make.,彼女は自分が下さなければならない決断について、苦しみもだえ続けた。,2995878
agony,noun,"CoreInventory_1: Books and literature

CoreInventory 2: 

Threshold: ",,agony,"(長く激しい精神的・肉体的な)『苦悶』(くもん),苦痛 / (特別な感情の)激発;突発",,"(長く激しい精神的・肉体的な)『苦悶』(くもん),苦痛 / (特別な感情の)激発;突発",/ˈæɡəni/,851,The agony of his loss was unbearable.,彼の失ったものに対する苦悶は耐えがたかった。,2995876
aim,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aim,目指す,,目指す,/eɪm/,9702351,He is aiming for the directorship.,彼は役員の地位をねらっている。,25136
aircraft,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aircraft,〈C〉(一般に)航空機,,〈C〉(一般に)航空機,/ˈɛər.kræft/,944,The aircraft is ready for takeoff.,その航空機は離陸の準備ができています。,2995899
aircrew,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: Personal identification",,aircrew,航空機乗組員(操縦士・客室乗務員など),,航空機乗組員(操縦士・客室乗務員など),/ˈɛər.kruː/,947,The aircrew prepared for takeoff.,航空機乗組員は離陸の準備をしました。,1639617
alcoholic,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: Food and drink",,alcoholic,アルコール中毒[患]者,,アルコール中毒[患]者,/ælˈkəhɒlɪk/,9702353,He decided to quit being an alcoholic.,彼はアルコール依存症をやめると決意しました。,2995925
alcoholism,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: ",,alcoholism,アルコール中毒 / アルコール中毒症,,アルコール中毒 / アルコール中毒症,/ˈælkəhɔlɪzəm/,1033,Alcoholism is a serious problem that affects many people around the world.,アルコール中毒は世界中の多くの人々に影響を与える深刻な問題です。,1663575
alert,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alert,"〈他〉《...に対して》 ...に警報(警告)を出す, に警戒態勢をとらせる《to ...》",,"〈他〉《...に対して》 ...に警報(警告)を出す, に警戒態勢をとらせる《to ...》",/əˈlɜrt/,1044,The alert soldier spotted the enemy before anyone else.,その油断のない兵士は、他の誰よりも先に敵を見つけた。,2995928
allegation,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,allegation,"(十分な証拠を持たない)主張,申し立て",,"(十分な証拠を持たない)主張,申し立て",/ˌæləˈɡeɪʃən/,1121,The police are investigating the allegation that the suspect stole the car.,警察は、容疑者が車を盗んだという申し立てを捜査している。,1622951
alliance,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: ",,alliance,"〈U〉〈C〉(国家間の)同盟,協定;〈C〉同盟国  / 〈U〉〈C〉(個人・組織間の)協力,提携  / 〈U〉〈C〉(…との)縁組み,姻戚関係;交友《+with+名》",,"〈U〉〈C〉(国家間の)同盟,協定;〈C〉同盟国  / 〈U〉〈C〉(個人・組織間の)協力,提携  / 〈U〉〈C〉(…との)縁組み,姻戚関係;交友《+with+名》",/əˈlaɪəns/,1143,The two nations formed a powerful alliance to combat their common enemy.,二つの国家は共通の敵と戦うために強力な同盟を結成した。,2995957
ally,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: ",,ally,同盟国 / 味方,,同盟国 / 味方,/ˈæli/,9703357,The allies condemned the invasion as a violation of UN resolutions.,同盟諸国はその侵略行為が国連決議に違反するとして、厳しく非難した。,48780
alongside,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alongside,"...のそばに, ...と並んで",,"...のそばに, ...と並んで",/əˌlɔŋˈsaɪd/,1188,The boat was alongside the quay.,そのボートは波止場につながれていた。,124449
alphabetical,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alphabetical,"アルファベット順の,ABC順の",,"アルファベット順の,ABC順の",/ˌæl.fəˈbɛt.ɪ.kəl/,1201,Please arrange these files in alphabetical order.,これらのファイルをアルファベット順に並べてください。,2995977
altar,noun,"CoreInventory_1: Books and literature

CoreInventory 2: 

Threshold: ",,altar,"祭壇,聖餐(せいさん)台",,"祭壇,聖餐(せいさん)台",/ˈɔːltər/,1216,The couple exchanged vows in front of the beautifully decorated altar.,夫婦は美しく飾られた祭壇の前で誓いを交わしました。,1629921
alter,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alter,"〈他〉（形・性質などの点で）を変える,改める / 〈自〉変わる,改まる",,"〈他〉（形・性質などの点で）を変える,改める / 〈自〉変わる,改まる",/ˈɔːltər/,1219,The tailor had to alter the dress to fit me.,仕立て屋は私に合うようにドレスを直さなければなりませんでした。,2995984
alternate,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alternate,"〈自〉〈両者が〉交替する, 《…と》交替する《with ...》 / 〈他〉…を交互にさせる, 互い違いにする",,"〈自〉〈両者が〉交替する, 《…と》交替する《with ...》 / 〈他〉…を交互にさせる, 互い違いにする",/ˈɔːltərnət/,1224,The traffic lights alternate between red and green.,信号は赤と緑が交互に変わります。,2995987
alternatively,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alternatively,"《文修飾》（別の提案を切り出して）あるいは,または / そうではなくて,その代わりに / （２つ以上のうち）いずれかで",,"《文修飾》（別の提案を切り出して）あるいは,または / そうではなくて,その代わりに / （２つ以上のうち）いずれかで",/ɒlˈtɜːrnətɪvli/,48339,"You can take the bus to work, or alternatively, you can ride your bike.",仕事にはバスで行くこともできますが、あるいは自転車に乗ることもできます。,3007007
altitude,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,altitude,〈U〉高さ / 〈C〉標高 / 海抜 /高い地位 / 〈U/C〉高度,,〈U〉高さ / 〈C〉標高 / 海抜 /高い地位 / 〈U/C〉高度,/ˈæltɪtjuːd/,1233,The altitude of this mountain is quite high.,この山の高度はかなり高いです。,2995989
aluminum/aluminium,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: ",,aluminum,〈U〉《米》アルミニウム,,〈U〉《米》アルミニウム,/əˈluːmɪnəm/,1245,The soda can is made of aluminum.,そのソーダ缶はアルミニウムでできています。,2995990
amaze,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,amaze,"〈他〉をひどくびっくりさせる, をとても驚かす, を仰天させる",,"〈他〉をひどくびっくりさせる, をとても驚かす, を仰天させる",/əˈmeɪz/,1273,The magician's tricks never fail to amaze the audience.,そのマジシャンのトリックは、観客を必ず驚かせます。,2996002
amazement,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,amazement,"『大変な驚き』,びっくり仰天(astonishment)",,"『大変な驚き』,びっくり仰天(astonishment)",/əˈmeɪzmənt/,1275,His magic trick filled the audience with amazement.,彼のマジックトリックは観客をびっくり仰天させた。,2996004
amazingly,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,amazingly,驚くばかりに、すばらしく、すごく、驚くべきことに(は),,驚くばかりに、すばらしく、すごく、驚くべきことに(は),/əˈmeɪzɪŋli/,9704313,"Amazingly, the old man recovered his health.",驚くべきことに、その老人は健康を回復した。,93988
ambassador,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: ",,ambassador,大使,,大使,/æmˈbæsədər/,1280,The ambassador is scheduled to meet with the foreign minister tomorrow.,大使は明日、外務大臣と会う予定です。,2996006
ambiguity,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ambiguity,"(意味の)あいまいさ,不明りょうさ;〈C〉あいまいな表現(語句)",,"(意味の)あいまいさ,不明りょうさ;〈C〉あいまいな表現(語句)",/ˌæmbɪˈɡjuːɪti/,1289,The ambiguity of his statement caused a lot of confusion.,彼の発言のあいまいさが多くの混乱を引き起こした。,2996009
ambiguous,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ambiguous,"(意味が)いろいろな意味にとれる,多義の, 曖昧な / (正体などが)はっきりしない;(輪郭などが)ぼんやりとした,おぼろげな",,"(意味が)いろいろな意味にとれる,多義の, 曖昧な / (正体などが)はっきりしない;(輪郭などが)ぼんやりとした,おぼろげな",/æmˈbɪɡjuəs/,1290,His response was ambiguous and could be interpreted in various ways.,彼の反応は曖昧で、いろいろな意味にとれました。,2996008
ammonia,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: ",,ammonia,アンモニア / アンモニア水(ammonia water),,アンモニア / アンモニア水(ammonia water),/əˈmoʊ.ni.ə/,1357,The pungent smell in the room was due to a leak in the ammonia tank.,部屋の刺激的な臭いはアンモニアタンクの漏れが原因でした。,2996027
amongst,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,amongst,～の間に / ～の中の,,～の間に / ～の中の,/əˈmʌŋst/,1371,The truth is often found hidden amongst the lies.,真実はしばしば嘘の間に隠されて見つかるものです。,2996029
ample,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,ample,"《不可算名詞・複数名詞の前に用いて》十分な, あり余るほどたくさんの / 広い, 広々とした / ふくよかな, 豊満な",,"《不可算名詞・複数名詞の前に用いて》十分な, あり余るほどたくさんの / 広い, 広々とした / ふくよかな, 豊満な",/ˈæmpəl/,1393,There is ample space in the garden for a swimming pool.,庭にはプールを設置するための十分なスペースがあります。,2996033
amplifier,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,amplifier,"(電気の)増幅器,アンプ(電力の振幅を大きくする)",,"(電気の)増幅器,アンプ(電力の振幅を大きくする)",/ˈæm.plə.faɪər/,1395,The sound quality of the concert was greatly improved by the use of an amplifier.,コンサートの音質は、アンプ（増幅器）の使用により大幅に向上しました。,2996035
amplify,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,amplify,"…を拡大する,さらに加える / 〈電流〉を増幅する / 《…について》長々と述べる《on, upon ...》",,"…を拡大する,さらに加える / 〈電流〉を増幅する / 《…について》長々と述べる《on, upon ...》",/ˈæmplɪfaɪ/,1396,They used a microphone to amplify their voices.,彼らはマイクを使って声を拡大しました。,1639670
amuse,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,amuse,"〈他〉《...で》を楽しませる《with,by》",,"〈他〉《...で》を楽しませる《with,by》",/əˈmjuːz/,1410,The clown's antics never fail to amuse the children.,道化師の道化は、子供たちを必ず楽しませます。,2996036
