cefr,headword,pos,first_meaning,meaning_raw,issues
A1,activity,noun,活動,"〈U〉活動,働き;活力  / 《しばしば複数形で》(種々の)活動,行事;(学生の)学内(外)活動,クラブ活動  / 〈U〉(商況・市場などの)活発,活気",
A1,actor,noun,俳優,"(男の)俳優,男優  / 行為者",
A1,add,verb,を合計する,"【他】〈二つ以上のもの〉を合計する《up, together》 / 《…に》…を加える《to , and ...》 / 《 〜 that節》…とつけ加える / 【自】足し算をする,加える",
A1,address,noun,あて名,"〈C〉あて名,住所 / 〈C〉演説, (口頭・文書による)あいさつの言葉([[speech]]) / 《文》〈U〉話しぶり,応対のしかた / 〈U〉(物事を扱う)手ぎわのよさ,如才なさ / 《複数形で》くどき,求愛,求婚",
A1,afraid,adjective,恐れて,"《...を》恐れて,こわがって《of ...》  / 気づかって,心配して  / 気が進まない",
A1,after,preposition,…の後に,"《時・順序》…の後に,…後に, …の次に  / …を求めて,の後を追って  / …の名をとって,にならって, …ふうに(の)  / …のことを心配して,に関して  / …だから,…の結果",has_dots
A1,afternoon,noun,午後,午後(正午から日没まで) / 《形容詞的に》午後の,
A1,again,adverb,再び,"再び,もう一度([[once more]]) / 《否定語とともに用いて》二度と(…しない)  / また元の所へ,元のように  / さらにそれだけ,…の倍も  / 《しばしば[[then]], [[and then]]に続いて》その上に([[besides]]),さらに([[furthermore]])  / 《しばしばand, and thenに続いて》また一方,ところが",
A1,age,noun,年齢,"〈U〉(一般に)年齢,寿命;〈C〉(個々の)年齢,年  / 〈U〉成年(おとなとしての資格・権利を得る年齢;通例18または21歳)  / 〈U〉老齢,《集合的に》老人たち  / 〈U〉(人生の)一時期 / 〈C〉世代([[generation]])  / 〈U〉〈C〉《しばしばA-》(歴史上の)時代  / 〈C〉《話》長い間",
A1,ago,adverb,…前に,《期間を表す語の後に用いて》(今から)…前に / 《longの後に用いて》以前に,has_dots
A1,agree,verb,意見が一致する,"〈人が〉意見が一致する,合意する;同意する,賛成する  / 〈物事が〉《…と》合致する,一致する《with ...》  / 《…と》いっしょにうまくやる《with ...》  / (文章で)〈人称・性・数・格が〉一致する  / …に意見が一致する,同意する",
A1,airplane,noun,飛行機,飛行機(《英》[[aeroplane]]),
A1,airport,noun,空港,"〈C〉空港, 飛行場",
A1,album,noun,アルバム,"(写真・切手・切り抜きなどを貼る)アルバム  / (いくつかの曲・劇などを収録した)組レコード,アルバム  / 画帳",
A1,all right,adjective,かまわない,かまわない / 《...にとって》都合がいい《for ...》 / うまくいっている,
A1,all right,adverb,うまく,"うまく / 《確信》確かに, 間違いなく / 《確認》わかりましたか /《同意》はい / 《喜び》やったぞ / 《脅し》おい / 《切り出し》それでは",
A1,almost,adverb,ほとんど,"ほとんど,たいてい([[nearly]])、もう少し",
A1,alone,adverb,ひとりで,"ひとりで, 単独で, ただ…だけで",
A1,along,adverb,前へ,"《動作や状態の継続を強めて》前へ,進んで / (人を)連れて;(物を)持って / 沿って,並んで",
A1,already,adverb,もう,"《肯定文で》もう,すでに  / 《驚き・意外の意を表して》《疑問文で》もう,早くも;《否定文で》まさか",
A1,also,adverb,…もまた,"…もまた([[too]]), 同様に（[[as well]]） / そしてその上,それから",has_dots
A1,always,adverb,いつも,"いつも, 常に / いつまでも, 永久に / 《話》 いずれにしても, 必要なら",
A1,am,be-verb,be動詞の一人称単数,"be動詞の一人称単数,直説法,現在形",has_ascii_letter
A1,angry,adjective,怒った,"怒った, 腹を立てた / (波・風などが)怒ったような, 激しい / (傷が)炎症を起こした",
A1,animal,noun,動物,"(植物に対して)動物  / (人間以外の)動物,けだもの  / (魚・鳥などに対して)哺乳動物([[mammal]])  / けだもの(野獣)のような人  / (比較変化なし)《名詞の前にのみ用いて》動物の,動物性の,動物質の  / (知的・精神的に対して)動物的な;肉欲的な",
A1,another,determiner,もう一つの,"もう一つの,もう一人の  / 別の,ほかの(different)  / もう一つ,もう一人  / 別のもの(人),違ったもの(人)  / 似たもの,同類",
A1,answer,noun,答え,"〈C〉(質問・要求に対する)答え,回答([[reply]]),(手紙に対する)返事《to ...》 / 《…に対する》応報, 仕返し 《to ...》/ (問題に対する)解答,正解《to ...》 / (一般に)《…に対する》解答,説明,(被告人の)答弁,申し開き《to, for ...》",
A1,answer,verb,に答える,"〈質問・手紙・人など〉に答える,返事をする / 〈訪問・電話など〉に応じる / 《…で》…に応酬する,...に応答する《with ...》 / 〈非難など〉に答弁する / 〈目的・条件など〉にかなう,に合致する,に添う / 《…に》答える,返事をする《to ...》 / 《…に》応ずる,応酬する《to ...》 / 〈物事が〉うまくいく,成功する",
A1,anybody,pronoun,誰か,【代】｟くだけて｠（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも,
A1,anyone,pronoun,だれか,《かたく》《疑問文・条件節で》だれか / 《否定文で》だれも / 《肯定文で》だれでも,
A1,anything,pronoun,何か,"《疑問文・条件節で》何か / 《否定文で》何も,どんなことも / 《肯定文で》なんでも, どんなものでも",
A1,apple,noun,リンゴ,リンゴ;リンゴの木,
A1,apron,noun,エプロン,"『エプロン』,前掛け / (また『apron stage』)張り出し舞台 / エプロン(飛行機の乗降・荷積み・給油などをする所)",
A1,are,be-verb,…である,"…『である』,…です(beの二人称の単数とすべての人称の複数の直説法現在形)",has_dots
A1,arm,noun,腕,"〈C〉(人・猿の)腕 / (四つ足の動物の前肢の)腕(手首から肩までの間）（手は[[hand]]) / 腕のような物, (特に)いすのひじ掛け, 樹の大枝 / 〈C〉《複数形で》武器, 兵器",too_short
A1,around,preposition,...の周りに,"...の周りに / …のあちこちに, …のあちこちを / 《米・英話》…を回って",
A1,arrive,verb,着く,"着く,到着する《at, in, on ...》 / (ある目標・過程・断階などに)達する 《at ...》 / （時が）来る",
A1,art,noun,芸術,"〈U〉〈C〉芸術, 芸術作品 / 〈C〉技術, 技法 / 〈U〉《複数形で・単数扱い》人文科学",
A1,article,noun,記事,"(新聞・雑誌などの)(…についての)記事,論説《+on+名》  / (条約・契約などの)条項,箇条;《複数形で》契約  / 《複数形で》(またarticles of apprenticeship)徒弟年季契約  / (同種の物の)一個,一品,品物,商品《+of+名》  / 冠詞",
A1,ask,verb,について質問する,"〈他〉〈事〉について質問する, を尋ねる / 《...について》〈人〉に質問する《about ...》 / 〈事〉を頼む / 《...を》〈人〉に頼む 《for ...》 / 〈自〉《...について》質問する《about ...》",
A1,aunt,noun,おば,『おば』 / おばさん(年長の婦人に対する敬称),
A1,autumn,noun,秋,〈C〉〈U〉秋,too_short
A1,awake,adjective,眠らずに,"眠らずに,目がさめて / 《…に》気づいている《to ...》",
A1,away,adverb,離れて,離れて,
A1,baby,noun,赤ん坊,"赤ん坊,赤ちゃん  / (家族・グループの中で)いちばん年少の人,最年少者  / 赤ん坊みたいな人  / (またbabe)《米俗》《特に若い女の子への呼びかけた用いて》かわいこちゃん  / 赤ん坊の[ような],赤ちゃん用の  / 《話》…'を'赤ちゃんのように扱う,甘やかす",
A1,back,adverb,後方へ,"後方へ,後ろに([[backward]]) / (場所・状態が)もとへ,帰って,返して / (時間的に)さかのぼって,今から…前に([[ago]])",
A1,back,noun,背,"〈C〉(人・動物の)背,背中,背部 / 《通例the〜》(正面に対して)《…の》後ろ,裏,奥,後部《of ...》 / 《通例the》背に似たもの, (手足の)甲, (刀の)みね, (いす・本の)背 / 〈C〉〈U〉(フットボール・ホッケーなどの)後衛",too_short
A1,bad,adjective,悪い,"悪い,不良の;不正な  / 適当でない,欠陥のある  / 《補語にのみ用いて》《…に》有害な《for ...》  / 病気の  / ひどい,激しい,重い  / 腐敗した,腐った  / 不快な,いやな  / へたな,まずい  / 《補語にのみ用いて》《話》《…を》悪いと(残念に)思っている《about ...》",
A1,bag,noun,袋,"袋  / 袋状の物  / (女性の)ハンドバッグ;旅行かばん,スーツケース  / (…の)1袋分の量《+of+名》  / (野球の)走塁ベース  / 獲物入れ;(猟の)獲物",too_short
A1,ball,noun,球,"〈C〉球, ボール / 〈U〉球技, 野球 / 〈C〉弾丸 / 球状のもの / 《俗》睾丸(こうがん) /",too_short
A1,banana,noun,バナナ,『バナナ』;バナナの木 / 《米俗》ドル,
A1,band,noun,帯,"〈C〉帯, バンド, ひも / (色の)すじ,しま  / 周波数",too_short
A1,bank,noun,銀行,〈C〉銀行 / 貯金箱 / 貯蔵,
A1,bar,noun,棒,"〈C〉棒 / 《...に対する》障害《to, against ...》 / 酒場",too_short
A1,baseball,noun,野球,〈U〉野球,
A1,basketball,noun,バスケットボール,"〈U〉バスケットボール,篭(ろう)球  / 〈C〉バスケットボール用のボール",
A1,bat,noun,バット,〈C〉(野球・クリケットの) バット / (特にバトミントン・スカッシュなどの)ラケット / 打者 / 打順 / バットによる一撃,
A1,bath,noun,入浴,"入浴;水浴び  / (また《おもに米》bathtub,《話》tub)浴槽(よくそう),ふろ[がま]  / 浴室(bathroom);  / 《複数形で》(古代の)大浴場  / (化学作用を与えるための)浴液;電解そう",
A1,bathroom,noun,浴室,"浴室,ふろ場  / 便所(toilet)",
A1,be,be-verb,...である,《補語を伴って》 ...である / 《位置・場所を伴う語句を伴って》 《...に》 ある / 存在する,
A1,beach,noun,浜,"浜,海岸  / 海水浴場  / 〈ボートなど〉'を'浜に引き上げる",too_short
A1,bean,noun,豆,豆(おもにいんげん豆・そら豆など大きめの豆類)  / 豆のさや(pod)  / 豆に似た実  / 《俗》頭,too_short
A1,bear,noun,熊,〈C〉熊 / 〈C〉乱暴者 / (株式で)売り方,too_short
A1,beautiful,adjective,美しい,"美しい,きれいな  / 《話》みごとな,すばらしい  / 《名詞的に;the~》《単数扱い》美(beauty)  / 《名詞的に;the~》《複数扱い》美しい人たち(beautiful people);美しいもの",
A1,because,conjunction,…だから,"(なぜならば)…だから,…ゆえに  / 《否定文の主節とともに用い》…であるからといって  / 《おもに話》《名詞節を導いて》…ということ",has_dots
A1,become,verb,...になる,...になる / 〈衣類などが〉〈人〉に似合う / にふさわしい,
A1,bed,noun,ベット,"〈C〉〈U〉ベット,寝台  / 〈U〉睡眠,宿泊  / 〈C〉花壇,苗床…養殖場  / 〈C〉(海・川などの)床,水底  / 〈C〉地層;(一般に)土台",
A1,bedroom,noun,寝室,寝室;(列車内の)寝室,
A1,bee,noun,はち,"『はち』,(特に)みつばち(honeybee) / 《米話》(趣味・仕事上の)集会,集い / (親善のための)競技会 / 働き者",
A1,beef,noun,牛肉,"〈U〉牛肉;(一般に)肉  / 〈C〉《おもに米》肉牛,食肉牛;(屠殺(とさつ)して処理した)牛  / 〈U〉《話》筋肉,力;体重,肉づき  / 〈C〉《俗》不平,苦情",
A1,before,adverb,前へ,"《場所・位置》前へ(に),前方へ(に),先へ(に)  / 《時》以前に,すでに([[already]]);今までに,その時までに  / (予定より)早く,前に",
A1,before,preposition,…の前に,"《場所・位置》…の前に,を前にして / 《時》…より前に([[earlier]] than…) / (裁判・審理などのために)…の前に / …の前途に,に用意されて,を待って / (困難・不利など)に直面して / (力・勢いなど)に追われて,押されて,攻撃されて / 《順序・階級・価値など》…よりまさって,に優先して,より重要で / 《優先》…よりむしろ,するくらいなら([[rather than",has_dots
A1,begin,verb,始まる,"始まる,開始する  / 発生する,起こる  / …'を'始める,‘に'着手する  / …'を'起こす,創始する",
A1,behind,adverb,過ぎ去って,"過ぎ去って,過去に  / 《場所・位置》後ろに,陰に[隠れて]  / 《leave,remain,stayなどの動詞と共に用いて》後に  / (定められた時刻に)遅れて;(知識・仕事・進歩などが)遅れて",
A1,behind,preposition,…の後ろに,"《場所・位置》…の後ろに,の陰に, の陰に隠れて / 《比喩的に》…の陰に隠されて,の裏に([[at the back of]]) / …を支持して,…に味方して / 《[[leave]],[[remain]],[[stay]]などの動詞と共に用いて》…の後に,が去った後に /  (定められた時刻)に遅れて, (知識・仕事・進歩などが)遅れて",has_dots
A1,being,be-verb,beの現在分詞・動名詞,[[be]]の現在分詞・動名詞 / ...であること,has_ascii_letter
A1,believe,verb,を信じる,"(現実・真実であると)〈事〉'を'信じる,信用する  / 〈人〉'を'信じる,信用する;〈人〉‘の'言ったことを信じる  / 《1,2の弱い意味に,同じ文型で用いて》…‘と'思う,考える(think)  / 信ずる;信仰する",
A1,bell,noun,鐘,"鐘,釣り鐘;鈴,ベル,りん  / 〈U〉鐘(鈴,ベル)の音  / 〈C〉鐘(ベル)状のもの  / 〈C〉点鐘(船の当直交替を0時から4時間ごとに区切り,その間を30分ごとに1‐8点鐘で時を報じる.例えば2つ鳴らすことを2点鐘といい,午前または午後の1時,5時,9時を指す.8点鐘は当直交替の時間)",too_short
A1,below,adverb,下方へ向かって,"下方へ向かって,低い位置へ / 下方で,低い位置で / (記述で)以下に,下記に",
A1,below,preposition,…の下方へ,"【前置詞】《[[fly]],[[go]],[[sink]] など移動を表す動詞と結びつき方向を表して》…の下方へ,より低い位置へ / 《位置》…の下方で,より低い位置に / (上手・先方に対して)…より下手に,より手前に / (度合・地位・数量などが)…より以下で(の) / …にふさわしくない,にさえ値しない",has_dots
A1,beside,preposition,…のそばに,"《位置・場所》…のそばに,のわきに,の横に / …と比較して([[compared with]]) / (要点など)をはずれて([[apart from]])",has_dots
A1,best,adjective,いちばんよい,"(『[[good]]』の最上級;比較級は『[[better]]』)『いちばんよい』,最もよい,最良の / (『[[well]]』の最上級;比較級は『[[better]]』)『健康状態が最良の』([[healthiest]]) / 最大の,大部分の / 《話》(反語的に)きわめてひどい,徹底した",
A1,best,adverb,いちばんよく,"(『[[well]]』の最上級;比較級は『[[better]]』)『いちばんよく』,最もよく,最も / 《通例過去分詞と結合して形容詞を作って》最もよく",
A1,better,adjective,いっそうよい,"《good の比較級》 いっそうよい,もっとすぐれた / 《wellの比較級》《補語にのみ用いて》(健康が)いっそうよい,(病気が)快方に向かって / (量・距離・時間などが)もっと多い",
A1,between,preposition,...の間に,"《場所・空間・期間》...の間に, ...の間で / 《数量・程度など》...の中間に / 《分配》…の間で / 《選択》...のいずれかを / 《関係》…の間に / 《協力》...と協力して / 《理由》...やら...やらで",
A1,bicycle,noun,自転車,(2輪の)自転車,
A1,big,adjective,大きい,"(大きさ・高さ・広さ・数量・容積などについて)大きい  / 成長した(grown-up),成熟した;年長の(older)  / 《話》重要な  / 尊大な,ごう慢な  / 寛大な,心の大きい  / 《補語にのみ用いて》(…に)満ちて《+with+名》  / 《補語にのみ用いて》(子を)宿して《+with+名》",
A1,bike,noun,自転車,〈C〉《くだけて》自転車 / オートバイ,
A1,bird,noun,鳥,"鳥  / 〈話〉《修飾語を伴なって(目立った特徴をもった)やつ,人  / シャトル / 《英俗》女  / 《俗》《[[the bird|get the bird]]》(不満を表す)しーっしーっという野次 / 《形容詞的に》bird feathers（鳥の羽）bird life（〈U〉鳥の生活）",too_short
A1,birth,noun,誕生,"〈C〉〈U〉誕生,出生  / 〈U〉生まれ,家柄;家系(lineage)  / 〈C〉起原,起こり(origin)",
A1,birthday,noun,誕生日,誕生日,
A1,biscuit,noun,小型パン,〈C〉《米》『小型パン』(ふくらし粉かソーダを用いて焼いたもの;《英》scone) / 〈C〉《英》『ビスケット』,
A1,black,adjective,黒い,"黒い,黒色の  / 暗い,まっ暗な([[dark]])  / (特にアフリカ系)黒人の  / 汚い([[dirty]]),汚れた([[soiled]])  / 陰気な([[gloomy]]);不吉な;見通しの暗い  / 怒った([[angry]]);不きげんな([[sullen]])  / 腹黒い,邪悪な([[wicked]], [[evil]])  / 《文》不名誉な  / (コーヒーに)クリー",
A1,black,noun,黒,"〈U〉黒,黒色 /〈C〉《しばしばB-》黒人 / 〈U〉黒い服, 黒衣,(特に)喪服 / 《the》黒字 （赤字は[[red]]）",too_short
A1,blank,adjective,白紙の,"(紙が)白紙の;(欄が)空白の,書き入れていない  / がらんとした,からの(empty);なんの装飾もない  / ぼんやりした,うつろな,無関心な  / 全くの  / 空白,空所  / 書き込み用紙(form)  / 空虚;空(くう)の部分  / (語句・文学を伏せる場所に用いる)ダッシュ“‐"":Mr-某氏  / (またblank cartridge)(銑火器の)空包",
A1,block,noun,かたまり,"(木・石などの,通例平らな面のある)『かたまり』  / 《米》『区画』,街区  / 『妨害物』,障害物([[obstacle]]);(障害によって生じた)停滞,渋滞",
A1,blow,verb,吹く,"〈風が〉吹く /  風で動く,なびく / 〈風が〉…を吹く, を吹き動かす",
A1,blue,adjective,青い,"青い,あい色の  / 青黒い  / 《話》陰気な,憂うつな",
A1,blue,noun,青色,"〈U〉青色,あい色;青色の着物 / 〈U〉〈C〉青色絵の具,あい色染料 / 《the 〜》《詩》青空,青い海 / 《the 〜s》《話》憂うつ, 気のふさぎ, うれいの色 / 《the 〜s》《ときに単数扱い》(ジャズ音楽の)ブルース",
A1,board,verb,板,"〈C〉(ある程度の長さと幅をもった薄い)板  / 〈C〉ボール紙,台紙  / 〈C〉食卓;〈U〉食事,(特に有料の)まかない  / 〈C〉甲板(かんぱん),船べり  / 〈C〉委員会;(官庁の)局,部,課  / 《the boards》舞台",too_short
A1,boat,noun,小型の船,"小型の船,小舟,ボート  / 《話》(大小に関係なく一般に)船,汽船  / 舟形の容器",
A1,body,noun,身体,【名】身体；（生物の）胴体；人,
A1,bone,noun,骨,"〈C〉骨  / 〈U〉骨を作っている物質,骨質  / 《複数形で》骨格;死骸(がい)",too_short
A1,book,verb,本,"本 / 書物, 書籍, 著作 / 知識の源 / 聖書 / 帳簿 / (切手・マッチ・小切手などの)とじこみ帳 / 名簿",too_short
A1,bookstore,noun,書,"書,本屋(《英》bookshop)",too_short
A1,boring,adjective,つまらない,つまらない / 退屈な / うんざりするような,
A1,borrow,verb,…を借りる,"(…を担保として…から)…'を'借りる《+名+from+名+on+名》  / 〈言葉・思想・方法など〉'を'借りてまねる,模倣(もほう)する  / 借りる,借金する",has_dots
A1,both,adverb,両方とも,"《both…and…の形で》両方とも,…のいずれも",
A1,both,determiner,両方の,"両方の,双方の",
A1,both,pronoun,両方,"両方,両者",
A1,bottle,noun,びん,びん;1びんの量  / 〈U〉《the~》酒;飲酒  / 〈U〉《the~》哺乳(ほにゅう)びん;牛乳,
A1,bottom,noun,底,"(物の)底《+of+名》  / (海・川・湖・井戸などの)底《+of+名》  / (…の)下部,底部,根元《+of+名》  / (…の)根底,基礎;(…の)心底,奥底《+of+名》  / 船底,船腹;(一般に)船,船舶  / 《話》しり(posterior)  / 《複数形で》川沿いの低地(低い牧草地)  / 最低の;最後の  / 底の;根底の",too_short
A1,bowl,noun,どんぶり,"〈C〉どんぶり,はち, わん,茶わん,ボール / どんぶり(はち)1杯の量 / 《...の》丸くくぼんだ部分《of ...》 / 《米》(はち形の)円形競技場([[stadium]])",
A1,box,noun,箱,"箱  / (の…)1箱《+of+名》  / (劇場などの)さじき席 ます席  / 番小屋,詰め所  / (野球で)バッターボックス;コーチャーズボックス;ピッチャーズマウンド;キャッチャーの定位置  / (線で囲った)四角のわく,囲み;(新聞・雑誌の)  / (郵便の)私書箱  / 《the box》《英俗》テレビ",too_short
A1,boy,noun,少年,"少年,男の子  / 《しばしば所有格を伴って》むすこ  / 《しばしば複数形で》青年,若い男  / 《話,特に米南部方言》(年齢に関係なく)男,仲間  / 給仕,下男  / 《the boys》飲み(遊び,仕事)仲間  / 《米話》やあ(その他,歓喜・驚きを表す時に用いられる)",
A1,boyfriend,noun,男友だち,"《話》男友だち(恋人),ボーイフレンド / 男友だち(恋人),ボーイフレンド",
A1,brain,noun,脳,"脳,脳髄  / 《しばしば複数形で》頭脳,知力  / 《話》秀才,知的指導者",too_short
A1,bread,noun,パン,"パン,食パン  / (生名の糧(かて)として必要な)食物一般…生計・金・銭",
A1,break,verb,…を壊す,…を壊す / …を役に立たなくする / 〈法律・規則・約束など〉を破る / 《…に》…を打ち明ける《to ...》 / …を破産させる / 《しばしば副詞[句]を伴って》壊れる /,has_dots
A1,breakfast,noun,朝食,朝食,
A1,breathe,verb,呼吸する,【動/自】呼吸する / 【動/他】〈空気〉を呼吸する,
A1,bridge,noun,橋,〈Ｃ〉橋 / 鼻柱 / (めがねの)ブリッジ,too_short
A1,bright,adjective,輝いている,"輝いている,びかびかの(shining)  / うららかな,晴れた  / 生き生きした,元気のよい(cheerful)  / 未望な(promising)  / (色が)鮮やかな,鮮明な(clear)  / りこうな(clever),気のきいた(smart)  / 明るく,輝いて(brightly)",
A1,bring,verb,を持ってくる,"〈物〉‘を'持ってくる  / 〈人が〉(…に)〈人〉‘を'連れてくる《+名〈人〉+to+名》  / 〈物事が〉(…に)〈人〉‘を'来させる,引き寄せる《+名+to+名》  / 〈物事〉をもたらす,引き起こす  / (ある状態・結果・動作などに)…‘を'する  / (…に対して)〈訴訟〉を起こす《+名+for(against)+名》",
A1,broken,adjective,breakの過去分詞,"breakの過去分詞 / 『壊れた』,折れた,破れた,裂けた / 『破られた』 / (苦労・悲嘆などで)打ちのめされた,意気消沈した,衰弱した / 切れ切れの,断続的な / 完全でない,半端な / 滑らかでない,でこぼこの / (機械などが)故障した,だめになった / (馬が)慣らされた,調教された / (言語が)不完全に話される / 破産した",has_ascii_letter
A1,brother,noun,兄弟,"兄弟,兄,弟  / 同僚,仲間;同業者  / 《文》同胞;同一教会員,同じ信仰の友  / (失望・不快・驚きを表して)いまいましい,ちきしょう",
A1,brown,adjective,褐色の,"褐色の,茶色の  / 日に焼けた  / 褐色,茶色,トビ色",
A1,brush,noun,ブラシ,"ブラシ,はけ,毛筆,画筆 / ブラシをかけること, 絵筆を使うこと,画法 / ブラシに似た物（キツネのしっぽなど）/ 小ぜり合い,いざこざ /  《…が》かすること, 軽く触れること《of ...》 / (モーターの)ブラシ,刷子",
A1,brush,verb,…にブラシをかける,"…にブラシをかける, をブラシでこする(みがく,払う) / (ブラシをかけるようにして,手で)…を払いのける / (通りすがりに)…をかする, に軽く触れる / 《…を》かすめて通る,かする《past, by, against ...》",has_dots
A1,bucket,noun,バケツ,"バケツ,手おけ;(井戸の)つるべ  / バケツ状の物;(水車・タービンなどの)水受け;(ポンプの)吸い子  / バケツ1杯(の…)(bucketful)《+of+名》",
A1,build,verb,を組み立てる,"〈物〉'を'組み立てる,造る,建造する,建築する  / (年月をかけて)〈事〉'を'作り上げる,築き上げる;《受動態で》〈体・性質〉'を'作る",
A1,building,noun,建物,"〈C〉『建物』,ビルディング;(一般に)建造物 / 〈U〉建築,建築術",
A1,burger,noun,ハンバーガー,ハンバーガー,
A1,bus,noun,バス,バス,
A1,business,noun,職業,"〈U〉(生計のための)職業,商売;任務,仕事 / 〈C〉店,会社,商社 / 〈U〉商取引,商売 / 〈C〉事,事柄([[matter]],[[affair]]);用事,用件 / 《おもに否定文・疑問文で》(個人的)関心事,責任のある事",
A1,busy,adjective,忙しい,"《...で》忙しい,多忙な《with ...》  / 《...するのに》忙しい《~ doing》 / (場所が)にぎやかな  / 《米》(電話が)使用中の(《英》engaged)",
A1,butter,noun,バター,バター  / (バターに似た)パンに塗る食品,
A1,butterfly,noun,チョウ,"〈Ｃ〉チョウ / 《話・通例複数形で》不安, 緊張, 胸騒ぎ / 〈U〉(水泳で)バタフライ",
A1,button,noun,ボタン,"(衣服の)ボタン  / 記章,バッジ  / (ベルなどの)押しボタン",
